No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi - ,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,20200928,
2,06.30 WIB,PD - ,Pdt. Sutjipto Subeno,https://zoom.us/j/2232232211,,20200928,
3,07.00 WIB,Saat Teduh Bersama - ,Pdt. Eko Aria,http://bit.ly/griimalanglive,,20200928,
4,08.00 WIB,Renungan Pagi (Meditatio Christi) - Mengapa Kristus?,Pdt. Billy Kristanto,https://griikg.org/live/,,20200928,
5,17.00 WIB,PD -  ,Pdt. Jimmy Pardede,http://bit.ly/griibdglive,,20200928,
6,19.00 WIB,,,https://www.youtube.com/c/reformedinjili,https://pusat.grii.org/live,20200928,
