No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,bit.ly/griisamarindalive,,20200427,
2,06.30 WIB,PD - Hidup Penuh Syukur (Terberkati),Pdt. Sutjipto Subeno,https://zoom.us/j/246316777,Zoom Meeting ID : 246 316 777,20200427,
3,07.00 WIB,Saat Teduh Bersama - Tentang Sedekah,Pdt. Eko Aria,http://bit.ly/griimalanglive,https://www.youtube.com/watch?v=NLqxCvWjjVo,20200427,
4,18.30 WIB,PA - Kitab Injil & Kisah Para Rasul #2 - Injil Matius : Keunikan,Pdt. Aiter,http://bit.ly/griicitralive,https://www.youtube.com/watch?v=gJvAkN3CXU0,20200427,
5,19.00 WIB,PD - Keindahan Doktrin Kristen : Tritunggal,Pdt. Jimmy Pardede,http://bit.ly/griibdglive,griibandung.org/live,20200427,
