No.,Pengkhotbah,Tema,Link,Keterangan,Tanggal,YTId
1,Pdt. Calvin Bangun,Seri Keagungan Penderitaan: Penderitaan Dalam Injil Markus,https://www.youtube.com/watch?v=PYVWtDPqQd0,,30-Mar-2020,PYVWtDPqQd0
2,Pdt. Antonius Steven Un,Seri Keagungan Penderitaan: Penderitaan dalam Surat 2 Korintus,https://www.youtube.com/watch?v=lNQVvS9qxHA,,31-Mar-2020,lNQVvS9qxHA
3,Pdt. Calvin Bangun,Seri Keagungan Penderitaan: Penderitaan dalam Surat 1 Tesalonika,https://www.youtube.com/watch?v=aE80q4I6-Og,,1-Apr-2020,aE80q4I6-Og
4,Pdt. Antonius Steven Un,Seri Keagungan Penderitaan: Penderitaan dalam Surat 1 Petrus,https://www.youtube.com/watch?v=LAy3w-mettI,,2-Apr-2020,LAy3w-mettI
5,Pdt. Calvin Bangun,Seri Keagungan Penderitaan: Penderitaan dalam Surat Filipi,https://www.youtube.com/watch?v=s25Bb7RKyO0,,3-Apr-2020,s25Bb7RKyO0
6,Pdt. Antonius Steven Un,Seri Keagungan Penderitaan: Penderitaan dalam Kitab Wahyu,https://www.youtube.com/watch?v=OzIvVlGWZXc,,4-Apr-2020,OzIvVlGWZXc
