No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,"Senin, 1 Juni 2020",
2,06.30 WIB,PD - Pengharapan Kemuliaan Allah,Pdt. Sutjipto Subeno,https://zoom.us/j/2232232211,Zoom Meeting ID : 223 223 2211,"Senin, 1 Juni 2020",
3,07.00 WIB,Saat Teduh Bersama - Cinta dan Teguran,Pdt. Eko Aria,http://bit.ly/griimalanglive,,"Senin, 1 Juni 2020",
4,14.00 WIB,Diskusi - God's Footprints Through Pancasila,Sdr. Hanslaveda,https://us02web.zoom.us/j/7526589398,,"Senin, 1 Juni 2020",
5,16.00 WIB,PA - 10 Days Around The Ancient World with Paul : Paul's First Mission #1,Pdt. Aiter,http://bit.ly/griicitralive,Peta perjalanan (di brosur) : https://drive.google.com/drive/folders/1-ux9sTbmh4_0RpenUB9b2YGw1o0YfuBM?usp=sharing,"Senin, 1 Juni 2020",
6,17.00 WIB,PA & PD - Iman Kristen yang Bertumbuh: Injil & Kesadaran Diri,Pdt. Jimmy Pardede,http://bit.ly/griibdglive,,"Senin, 1 Juni 2020",
7,19.00 WIB,SPIK 1994 - Dinamika Hidup dalam Pimpinan Roh Kudus (bagian 1),Pdt. Stephen Tong,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,"Senin, 1 Juni 2020",
8,19.00 WIB,Persekutuan Doa,GRII Ngagel,https://www.youtube.com/channel/UCm1OFPU4NIkH6iKnDYKnB1A/live,,"Senin, 1 Juni 2020",
