No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,youtu.be/W0OGpH2X5SQ,,"Selasa, 14 April 2020",
2,06.30 WIB,Seri PD Pagi - Bijak dan Kuat,Pdt. Sutjipto Subeno,https://zoom.us/j/246316777,Zoom Meeting ID : 246 316 777,"Selasa, 14 April 2020",
3,07.00 WIB,PD - Khotbah di Bukit - Kekayaan Orang Miskin,Pdt. Eko Aria,https://www.youtube.com/watch?v=z_uDwBRyNrM,,"Selasa, 14 April 2020",
4,15.00 WIB,"The Joyful Cost of Discipleship - Love, the Labor of Christian Hedonism",Pdt. Budy Setiawan,https://areoc.online/zoom,Website event : http://areoc2020.eventbrite.com.au/ (klik di sini),"Selasa, 14 April 2020",
5,16.30 WIB,PD & PA - Doa-doa Rasul Paulus bagi Jemaat,"Pdt. Antonius Steven Un, Pdt. Calvin Bangun",griikebonjeruk.org/live,Link 2 : grii-semarang.org/live,"Selasa, 14 April 2020",
6,18.30 WIB,PA - Ibadah Sejati vs Ibadah Palsu #3 - Musa : Padang Gurun,Pdt. Aiter,https://www.youtube.com/watch?v=be56v5h79b0,,"Selasa, 14 April 2020",
7,19.00 WIB,PD - Nabi yang Sejati,Pdt. Jimmy Pardede,https://www.youtube.com/watch?v=-DVgqYH92Jc,griibandung.org/live,"Selasa, 14 April 2020",
8,19.00 WIB,PD,GRII Kelapa Gading,https://www.youtube.com/watch?v=bU4n20-xZw4,griikg.org/live,"Selasa, 14 April 2020",
