No.,Pengkhotbah,Tema,Link,Keterangan,Tanggal,YTId
1,Pdt. Jimmy Pardede,"The Gospel, Strength, and Hope (1)",https://www.youtube.com/watch?v=RFuLrWj5NDk,GRII Bandung,23-Mar-2020,RFuLrWj5NDk
2,Pdt. Jimmy Pardede,"The Gospel, Strength, and Hope (2)",https://www.youtube.com/watch?v=FersE42P-Y0,,24-Mar-2020,FersE42P-Y0
3,Pdt. Jimmy Pardede,"The Gospel, Strength, and Hope (3)",https://www.youtube.com/watch?v=CzTLhWje3iI,,25-Mar-2020,CzTLhWje3iI
4,Pdt. Jimmy Pardede,"The Gospel, Strength, and Hope (4)",https://www.youtube.com/watch?v=qsTHeS-_mCM,,26-Mar-2020,qsTHeS-_mCM
