No.,Pengkhotbah,Tema,Link,Keterangan,Tanggal,YTId
1,Pdt. Jimmy Pardede,Kehadiran Allah Melalui Roh-Nya,https://www.youtube.com/watch?v=mHe7rPyJh30,,4-May-2020,mHe7rPyJh30
2,Pdt. Rudie Gunawan,"Yohanes di Patmos, Sekutu dalam Kesusahan",https://www.youtube.com/watch?v=peXsYU5Ox5Y,,5-May-2020,peXsYU5Ox5Y
3,Pdt. Agus Marjanto,Puritan on Suffering,https://www.youtube.com/watch?v=YbuxieOLSQY,,6-May-2020,YbuxieOLSQY
4,Pdt. Romeo Mazo,Apakah Doa yang Berkuasa Itu?,https://www.youtube.com/watch?v=D1XII5DzBvI,,7-May-2020,D1XII5DzBvI
