No.,Pengkhotbah,Tema,Link,Keterangan,Tanggal,YTId
1,Pdt. Jimmy Pardede,Hikmat dalam Kesulitan,https://www.youtube.com/watch?v=-ToIV89JlQo,Persekutuan Doa,30-Mar-2020,-ToIV89JlQo
2,Pdt. Jimmy Pardede,Iman dalam Kesulitan,https://www.youtube.com/watch?v=-KbOD8SemsQ,,31-Mar-2020,-KbOD8SemsQ
3,Pdt. Jimmy Pardede,Pengharapan dalam Kesulitan,https://www.youtube.com/watch?v=NpEtuwoNnDA,,1-Apr-2020,NpEtuwoNnDA
4,Pdt. Jimmy Pardede,Kasih dalam Kesulitan,https://www.youtube.com/watch?v=qeMu1zokBWM,,2-Apr-2020,qeMu1zokBWM
